"No.","Time","Source","Destination","Protocol","Length","Info"
"32","2.225058","10.192.4.47","162.243.205.13","TCP","66","51733  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"33","2.225261","10.192.4.47","162.243.205.13","TCP","66","51734  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"51","2.331974","162.243.205.13","10.192.4.47","TCP","58","443  >  51733 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"52","2.332064","10.192.4.47","162.243.205.13","TCP","54","51733  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"53","2.332605","10.192.4.47","162.243.205.13","TLSv1.2","571","Client Hello"
"54","2.346332","162.243.205.13","10.192.4.47","TCP","58","443  >  51734 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"55","2.346463","10.192.4.47","162.243.205.13","TCP","54","51734  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"56","2.346996","10.192.4.47","162.243.205.13","TLSv1.2","571","Client Hello"
"57","2.437987","162.243.205.13","10.192.4.47","TCP","56","443  >  51733 [ACK] Seq=1 Ack=518 Win=30016 Len=0"
"58","2.437987","162.243.205.13","10.192.4.47","TLSv1.2","195","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"59","2.438465","10.192.4.47","162.243.205.13","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"60","2.438736","10.192.4.47","162.243.205.13","TLSv1.2","798","Application Data"
"61","2.470209","162.243.205.13","10.192.4.47","TCP","56","443  >  51734 [ACK] Seq=1 Ack=518 Win=30016 Len=0"
"62","2.470209","162.243.205.13","10.192.4.47","TLSv1.2","195","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"63","2.470661","10.192.4.47","162.243.205.13","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"64","2.541444","162.243.205.13","10.192.4.47","TCP","56","443  >  51733 [ACK] Seq=142 Ack=1313 Win=31248 Len=0"
"65","2.547097","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=142 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"66","2.547097","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=1602 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"67","2.547097","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=3062 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"68","2.547097","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=4522 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"69","2.547097","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=5982 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"70","2.547097","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=7442 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"71","2.547097","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=8902 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"72","2.547097","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=10362 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"73","2.547097","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=11822 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"74","2.547097","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=13282 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"75","2.547159","10.192.4.47","162.243.205.13","TCP","54","51733  >  443 [ACK] Seq=1313 Ack=14742 Win=64240 Len=0"
"76","2.633559","162.243.205.13","10.192.4.47","TCP","56","443  >  51734 [ACK] Seq=142 Ack=569 Win=30016 Len=0"
"77","2.647890","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=14742 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"78","2.647890","162.243.205.13","10.192.4.47","TLSv1.2","1514","Application Data"
"79","2.647890","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=17662 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"80","2.647890","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=19122 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"81","2.647890","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=20582 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"82","2.647890","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=22042 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"83","2.647890","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=23502 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"84","2.647890","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=24962 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"85","2.647890","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=26422 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"86","2.647890","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=27882 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"87","2.647958","10.192.4.47","162.243.205.13","TCP","54","51733  >  443 [ACK] Seq=1313 Ack=29342 Win=64240 Len=0"
"88","2.649143","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=29342 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"89","2.649143","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=30802 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"90","2.649143","162.243.205.13","10.192.4.47","TLSv1.2","1514","Application Data"
"91","2.649143","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=33722 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
"92","2.649143","162.243.205.13","10.192.4.47","TCP","1514","443  >  51733 [ACK] Seq=35182 Ack=1313 Win=31248 Len=1460 [TCP segment of a reassembled PDU]"
